,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Wentyng,5,1 天前,"#202209湯頭很棒應該是天然熬製，料多實在，這家的蔬菜品質很不錯，高麗菜很甜，推薦，想補充蛋白質可點雞腿鍋，份量十足才310！太超值  
#202211一樣的好吃，物超所值，不收服務費，若要說缺點，飲料的麥茶太淡像水一樣，希望老闆能隨餐附一罐鋁箔包也好，方便又衛生。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
1,湯智強,5,3 天前,"和朋友四人一起來用餐敘舊，店內用餐環境舒服，服務到位老闆又熱情，麻辣鍋麻香十足不死鹹，當天點雪花牛肉質鮮嫩，海鮮也很新鮮，朋友本來對海鮮過敏也難得可以大啖海鮮，值得推薦！

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
2,Hsinyi Chiu,4,2 週前,"原味羊和壽喜牛，肉質不錯，自製水果醬也算特別，感覺老闆很用心，可惜分量不夠多，女生吃完只有7分飽，男生更吃不飽，建議分量可以再增加

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
3,張家豪（張小手）,1,3 週前,"必須要先說，店家的態度都很好，以下主要是希望能夠往好的方面改善。  
  
店裡環境普通…這個沒什麼問題  
沒有自助吧…有點意外  
菜盤送來，挺小盤的，大概同價位火鍋店一半的量，最誇張的是，全部都是從冷凍出來的，很容易看見上面有剛退凍的霜，進鍋裡基本鍋底大走味  
麻辣鍋是用沙茶做的，可能每個人口味不同，這個我覺得還好  
飲料麥茶必須跟他拿，像剛剛說的，沒有自助吧  
醬料盤也都是固定的，這個我覺得不太行，雖然他們的特製醬料不錯，但就是沒有個別差異口味的彈性度  
肉盤的量也是同價位餐廳的一半，肉質有基本水平，但不會用高級形容  
  
總而言之，滿難想像其他網友的留言，剛剛想了一下，如果價位只有現行的一半，好像就可以接受了，吧(?)  
  
PS、我不是專業饕客，可能有些感覺較直觀，但我就是客人之一。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
4,ethan huang,5,3 週前,"9/16再回訪，麻辣雞腿鍋，整隻雞腿  
想吃鍋的好地方！！  
  
胖老闆以前再長春路還有一家火鍋店（加賀屋），這家是新開幕～  
口味大眾，推薦麻辣鍋及牛小排  
  
老闆人nice，有任何問題都可以跟他反應，餐點好吃！

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
5,Olaf Loh,5,4 週前,"壽喜燒鍋有一種特別的柚香，不是一般那種死鹹的味道，非常好吃  
醬料只能拿一份，不過醬料也有種柚香的味道，整體來說還是很推薦的

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
6,音無十六,5,4 週前,"料的種類豐富，老闆很親切熱情。  
麻辣鍋後勁很足，配雞蛋麵和豆腐絕配。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
7,廖姿雯,5,4 週前,"第一次吃火鍋 就吃到不油膩特製醬  
整個胃口大開

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
8,Amway Queen,5,4 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
9,黃姵珺,5,4 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
10,賴晟維,5,4 週前,"第一次來服務真的是一級棒，很少來這種店吃過，又是台北，我本來就很喜歡吃日式的，肉好吃，老闆獨特醬料真的是外面沒吃過，但不會飽的建議要多點，才能吃得滿足

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
11,許曜鵬,5,4 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
12,潘文澤,5,4 週前,"肉類、海鮮新鮮！

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
13,DAI BANG ZU,5,4 週前,"老闆很用心

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
14,陳天明,5,4 週前,"水果醬料是老闆手工制的，非常棒，鍋底湯頭很好，喝了不會口渴~

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
15,薛剛毅,4,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
16,Cindy Chang,4,1 個月前,"點了麻辣與壽喜燒口味的湯底，豬肉與羊肉肉量很足夠，火鍋底料也很多，一碗份量非常足夠。壽喜燒蠻甜的，配上羊肉使湯頭有羊肉的香味。麻辣湯頭則有點單薄，比較沒有麻辣湯頭的濃厚感，薑的味道有點過重，所以吃起來很不習慣，有辣味但是不是麻辣火鍋的感覺。  
店家很貼心把王子麵分開放，反而王子麵比較有麻辣火鍋的味道。  
整體來說，料很多，湯也很多，味道也不錯！

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
17,Siao-Wun Chiu,5,1 個月前,"食材新鮮、服務很好

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
18,Alice Hsu,5,1 個月前,"很好吃 壽喜跟麻辣湯底都很棒 真心喜歡 之後會再來吃 肉跟食材都是好的 醬料也很好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
19,Wei,5,1 個月前,"店內蠻乾淨，飯後還有冰淇淋

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
20,悠寶,4,1 個月前,"選擇原味湯底  
肉片雪花牛、精緻豬 兩種肉味均不重  
醬料是店家製自的水果醬(小辣)<<店家說本身很辣可從小辣開始  
調味醬真的非常好吃！  
昆布的湯底很少會讓我喝到很多碗!!而且喝到後面並不會有口渴感覺(應該是沒加味精之類的  
  
缺點的話，環境偏普  
空調不夠強(有請店家調整過了)  
然後好像有甜點??我們沒吃到  
價格有點略高，相信肉質的品質是不錯 菜盤也頗少  
  
一進門老闆會提供麥茶，整體吃下來基本上都是店家在服務客人，客人只要坐在座位就好  
  
⭐️悠悠飲食參考：  
甜：手搖飲半糖>偶爾3分糖  
鹹：蠻重鹹的  
辣：中辣

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
21,Ivan Chen,5,1 個月前,"店長說集點數才能解鎖的秘密，終於集到傳說中的隱藏版美食了，湯頭更加鮮甜非常適合煮粥，吃完剛剛好完美ending

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9C%89%E7%94%B0%E5%B1%8B%E7%81%AB%E9%8D%8B+-+%E5%8F%B0%E5%8C%97%E5%A3%BD%E5%96%9C%E7%87%92+%E4%B8%AD%E5%B1%B1%E7%81%AB%E9%8D%8B+%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E6%B6%88%E5%A4%9C%E7%BE%8E%E9%A3%9F+%E4%B8%AD%E5%B1%B1%E5%BF%85%E5%90%83%E7%81%AB%E9%8D%8B+%E6%99%9A%E9%A4%90%E7%81%AB%E9%8D%8B%E6%8E%A8%E8%96%A6+%E4%BA%BA%E6%B0%A3+%E7%B6%B2%E7%B4%85+PTT%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a982a70854ed:0xd1bc91368d0d0fe1!8m2!3d25.0511561!4d121.5346519!16s%2Fg%2F11s54536xv!19sChIJ7VQIp4KpQjQR4Q8NjTaRvNE?authuser=0&hl=zh-TW&rclk=1,0x3442a982a70854ed:0xd1bc91368d0d0fe1
